Loại hàng,Nhóm hàng(3 Cấp),Mã hàng,Mã vạch,Tên hàng,Thương hiệu,Giá bán,Giá vốn,Tồn kho,KH đặt,Dự kiến hết hàng,Tồn nhỏ nhất,Tồn lớn nhất,ĐVT,Mã ĐVT Cơ bản,Quy đổi,Thuộc tính,Mã HH Liên quan,"Hình ảnh (url1,url2...)",Trọng lượng,Đang kinh doanh,Được bán trực tiếp,Mô tả,Mẫu ghi chú,Vị trí,Hàng thành phần
Hàng hóa,Trục ắc nhíp,SP001149,,Trục ắc nhíp phi 30*160 2 rãnh (T),,"50,000.0","37,000.0",20.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Tổng côn dưới,SP001148,,Tổng côn dưới 1605 giấy JD (T),,"80,000.0","52,000.0",5.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Bát phanh,SP001147,,Bát phanh 20 sau 153 Guanheng (T),,"60,000.0","39,000.0",29.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Trục ắc nhíp,SP001146,,Trục ắc nhíp phi 25*137 có ren vặn CA141 (T),,"45,000.0","29,000.0",58.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Xẹc măng>>Xẹt măng máy,SP001145,,Xéc măng WX 489 BWZL Guan Heng (T),,"450,000.0","335,000.0",1.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Bi>>Bi chữ thập,SP001144,,Bi chữ thập phi 57*144 (0082) CZECH (T),,"320,000.0","228,000.0",6.0,0.0,34 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Bi,SP001143,,Bi 33021 KoYo (T),,"380,000.0","290,000.0",2.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Bi,SP001142,,Bi 32021 JR KoYo (T),,"320,000.0","235,000.0",2.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Bi,SP001141,,Bi TR080803 KOYO (T),,"130,000.0","79,000.0",5.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Bi,SP001140,,Bi 32315 koyo (T),,"450,000.0","359,000.0",2.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Bi,SP001139,,Bi 33022 KoYo (T),,"400,000.0","309,000.0",2.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Bình>>Bình lọc hơi,SP001138,,Bình lọc hơi 4113 ko đế SOL 30018/10060 (V),,"180,000.0","125,000.0",4.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Nắp đậy mai ơ,SP001137,,Nắp chụp bụi mai ơ trước 16T Mooc Fuwa (V),,"100,000.0","42,000.0",5.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Bi,SP001136,,Bi 33216 X2 (7816) Samtin (V),,"280,000.0","195,000.0",2.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Van vào số,SP001135,,Van vào số Howo WG2209250005 (10995060010) SORL (V),,"150,000.0","90,000.0",2.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Trục ắc phi dê,SP001134,,Trục ắc phi dê EQ 6700 (phi 30*188) Samtin (V),,"280,000.0","220,000.0",4.0,0.0,172 ngày,0.0,"999,999,999.0",Bộ,,1.0,,,,0.0,1,1,,,,
Hàng hóa,Xẹc măng>>Xẹt măng máy,SP001133,,Xéc măng bơm hơi phi 75 1lá dầu/2lá dầu (V),,"60,000.0","40,000.0",10.0,0.0,0 ngày,0.0,"999,999,999.0",Bộ,,1.0,,,,,1,1,,,,
Hàng hóa,Phớt,SP001132,,Phớt 95*130*12 Jingyte (V),,"35,000.0","15,000.0",54.0,0.0,365 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,động cơ>>Cánh quạt,SP001131,,Cánh quạt 9 cánh phi 56 6108 lỗ 42 có vành (560-42) AL (V),,"250,000.0","140,000.0",7.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Cục khóa cửa,SP001130,,Cục khóa cửa EQ1043/1030 (V),,"70,000.0","49,000.0",8.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Bánh răng chuyển tầng,SP001129,,Bánh răng chuyển tầng Howo 42R/18R chuột (V),,"750,000.0","560,000.0",2.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1, (11509C-19726) rin alb/hv,,,
Hàng hóa,động cơ>>Cánh quạt,SP001128,,Cánh quạt 8 cánh phi 64 ko vành DF375 (V),,"400,000.0","270,000.0",2.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,  (Z640-86-103-8)LY056 AL,,,
Hàng hóa,tắc kê,SP001127,,"Tắc kê Howo 23* 12cm có mũ, ốc vàng hộp giấy xanh RS (V)",,"55,000.0","38,000.0",40.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Láp,SP001126,,Láp dài 92cm 10lỗ+2lỗ công 20R (1080) INốc MT (V),,"900,000.0","740,000.0",1.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Bi>>Bi chữ thập,SP001125,,Vòng Bi chữ thập Ø57*152 (0092) có phe (DFN) (P),,"350,000.0","265,000.0",8.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Roăng>>Roăng cổ xã,SP001124,,Roăng cổ xã YC4108 (P),,"20,000.0","5,000.0",48.0,0.0,200 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Bạc giò đá/ Bạc chày,SP001123,,Bạc chày FUWA cả bộ (P),,"60,000.0","26,000.0",10.0,0.0,0 ngày,0.0,"999,999,999.0",Bộ,,1.0,,,,,1,1,,,,
Hàng hóa,Bơm trợ lực lái,SP001122,,Bơm trợ lực lái QC480ZLQ SORL (P),,"1,200,000.0","870,000.0",3.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,(HV0408-078/080F)  340708127001P,,,
Hàng hóa,tắc kê>>Đinh ốc tắc kê sau,SP001121,,Tắc kê sau STR (M23*110) rin màu đồng (có chụp bụi) (P),,"55,000.0","39,000.0",30.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,động cơ>>Tu bô,SP001120,,ubo WB43 (XC485/490/M6) HP50S hộp nhựa vàng TP (P),,"2,300,000.0","1,800,000.0",1.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Lọc>>Lọc dầu,SP001119,,Lọc dầu LF16352 (FOTON )(P),,"130,000.0","75,000.0",3.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,0.0,1,1,,,,
Hàng hóa,Tăm bua,SP001118,,Tăng bua trước cheng long H7 40*28*16*28 xanh (M),,"1,800,000.0","1,450,000.0",2.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Bạc ắc nhíp,SP001117,,Bạc ắc nhíp 30*35*74 sắt (M),,"20,000.0","12,000.0",17.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Hộp số>>Trục tầng dưới số chính/trục trung gian,SP001116,,Trục tầng dưới 13R xéo EQ145 ZWB (M),,"650,000.0","395,000.0",4.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Hộp số>>Bánh răng tầng trên số chính,SP001115,,Bánh răng tầng trên 25R/26R chuột EQ145 ZWB (M),,"260,000.0","175,000.0",2.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Roăng>>Roăng đại tu,SP001114,,Roãng đại tu DF375 DEC (M),,"250,000.0","235,000.0",5.0,0.0,0 ngày,0.0,"999,999,999.0",Bộ,,1.0,,,,,1,1,,,,
Hàng hóa,động cơ>>Tu bô>>Ruột tu bô,SP001113,,Ruột tu bô YC4108ZQ 46*42.5 vân nội (M),,"1,100,000.0","850,000.0",0.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Bơm nhờn/ nhớt/ dầu,SP001112,,Bơm nhờn L375 (C4941464) (LH),,"950,000.0","750,000.0",2.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Roăng>>Roăng nước,SP001111,,Roăng nước L375 (LH),,"300,000.0","200,000.0",7.0,0.0,0 ngày,0.0,"999,999,999.0",Bộ,,1.0,,,,,1,1,,,,
Hàng hóa,Xẹc măng>>Xẹt măng máy,SP001110,,Xẹc măng L375 (LH),,"2,500,000.0","1,800,000.0",1.0,0.0,0 ngày,0.0,"999,999,999.0",Bộ,,1.0,,,,,1,1,,,,
Hàng hóa,Xi lanh,SP001109,,Xi lanh L375 (Bộ 6 ống) (LH),,"5,700,000.0","4,300,000.0",2.0,0.0,20 ngày,0.0,"999,999,999.0",Bộ,,1.0,,,,,1,1,,,,
Hàng hóa,Bánh răng,SP001108,,Bánh răng cùi đồng tốc 26R/ 10then (1700C-136) (V),,"80,000.0","50,000.0",3.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Bình>>Bình nước phụ,SP001107,,Bình nước phụ nhựa ĐF375 (1311010-K0300 ) (V),,"350,000.0","250,000.0",3.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,tắc kê,SP001106,,Đinh + ốc tắc kê Howo phi 22* 12cm (vàng có mũ ) (V),,"55,000.0","38,000.0",120.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Bi,SP001105,,Bi 33114 X2 (7814E) hiệu Samtin (V),,"200,000.0","130,000.0",2.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Phớt gít xu báp,SP001104,,Phớt gíp supap Đông Phong 6CT/260 (A),,"150,000.0","71,000.0",5.0,0.0,0 ngày,0.0,"999,999,999.0",Bộ,,1.0,,,,,1,1,,,,
Hàng hóa,động cơ>>Hơi,SP001103,,Bộ hơi CY4100BQ (OUERMAN) (A),,"2,600,000.0","2,099,000.0",2.0,0.0,0 ngày,0.0,"999,999,999.0",Bộ,,1.0,,,,,1,1,,,,
Hàng hóa,động cơ>>Hơi,SP001102,,Bộ hơi 4102/ISF3.8S3168/K38 khô (CREATEK) (A),,"5,650,000.0","5,144,000.0",1.0,0.0,0 ngày,0.0,"999,999,999.0",Bộ,,1.0,,,,,1,1,,,,
